Filter_1,Filter_1_1,Filter_1_2,Year,Batch,Number,Individual_Total,Individual_Treat,Phase,Species,Treatment,Treatment_Name,Resting_seconds,Active_seconds,vid_length,Resting_prop,Active_prop,Resting_entries,Active_entries,Resting_first_entry_time,Active_first_entry_time,Active_per_period,Diff_Activity,Change_Activity
1,1,1,21,2,2046,12,12,1,RT,C1,Treat(Cont)Pre,241.298,58.702,300,0.804,0.196,28,27,0,19.1,2.174148,NA,NA
1,1,1,21,2,2047,12,12,2,RT,C1,Treat(Cont)Stim,262.639,37.361,300,0.875463,0.124537,21,20,0,59.341,1.86805,-21.341,-0.363548
1,1,1,21,2,2048,12,12,3,RT,C1,Treat(Cont)Post,254.129,45.871,300,0.847,0.153,20,19,0,5.361,2.414263,-12.831,-0.218579
1,1,1,21,2,2049,13,13,1,RT,C1,Treat(Cont)Pre,245.506,54.494,300,0.818,0.182,27,27,0,3.04,2.018296,NA,NA
1,1,1,21,2,2050,13,13,2,RT,C1,Treat(Cont)Stim,238.262,61.738,300,0.794207,0.205793,22,22,3.081,0,2.806273,7.244,0.132932
1,1,1,21,2,2051,13,13,3,RT,C1,Treat(Cont)Post,231.796,68.204,300,0.773,0.227,36,36,0.86,0,1.894556,13.71,0.251587
1,1,1,21,2,2052,14,14,1,RT,C1,Treat(Cont)Pre,262.667,37.334,300.001,0.876,0.124,17,16,0,14.521,2.333375,NA,NA
1,1,1,21,2,2053,14,14,2,RT,C1,Treat(Cont)Stim,273.619,26.381,300,0.912063,0.087937,10,9,0,11.061,2.931222,-10.953,-0.293379
1,1,1,21,2,2054,14,14,3,RT,C1,Treat(Cont)Post,273.993,26.007,300,0.913,0.087,12,11,0,35.68,2.364273,-11.327,-0.303396
1,1,1,21,2,2055,15,15,1,RT,C1,Treat(Cont)Pre,228.147,71.853,300,0.76,0.24,19,18,0,44.06,3.991833,NA,NA
1,1,1,21,2,2056,15,15,2,RT,C1,Treat(Cont)Stim,250.057,49.943,300,0.833523,0.166477,22,21,0,35.661,2.378238,-21.91,-0.304928
1,1,1,21,2,2057,15,15,3,RT,C1,Treat(Cont)Post,260.035,39.965,300,0.867,0.133,22,22,0,16.16,1.816591,-31.888,-0.443795
1,1,1,21,2,2058,16,16,1,RT,C1,Treat(Cont)Pre,220.531,79.469,300,0.735,0.265,34,33,0,3.761,2.408152,NA,NA
1,1,1,21,2,2059,16,16,2,RT,C1,Treat(Cont)Stim,252.216,47.784,300,0.84072,0.15928,22,21,0,53.79,2.275429,-31.685,-0.398709
1,1,1,21,2,2060,16,16,3,RT,C1,Treat(Cont)Post,249.82,50.18,300,0.833,0.167,22,21,0,10.621,2.389524,-29.289,-0.368559
1,1,1,21,2,2061,17,17,1,RT,C1,Treat(Cont)Pre,245.159,54.841,300,0.817,0.183,22,21,0,8.561,2.611476,NA,NA
